0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1.3884513,-2.20546,0.932531,2.101668,2.447564,-2.136671,-4.1787944,-1.171825,-1.8398297,3.8997784,2.5926306,2.538587,-1.9592328,2.6433883,2.4235258,0.58493865,-0.97071135,-1.818681,0.98264873,1.4917259,0.7046956,2.0434976,-2.8501296,-1.0407863,2.390751,-3.32043,1.5545101,2.4007363,2.9664974,3.1716146
-1.3785958,-0.1694176,3.7944622,2.6205027,0.2576501,-1.304547,2.6237092,-2.3852823,-2.6137137,-1.1484482,0.9138069,1.1565901,-2.6161597,2.092421,1.2926664,3.0739388,0.50323224,-1.390467,0.74497724,3.619897,0.0024337918,1.287244,-3.8309176,-1.5318208,1.9497812,-1.4754171,2.7136505,3.599916,0.84493214,-0.7740018
-1.7467436,-0.4993315,3.4879484,2.8266451,0.7270063,-1.7647285,3.2389376,-2.7291648,-3.063871,-0.83894277,1.8632107,2.072196,-3.1842217,2.4075923,2.3086734,2.5960808,0.74270344,-1.1173255,1.3693126,4.279231,0.07358717,1.4668083,-3.7061863,-1.9623699,2.2386723,-1.4981405,2.8132598,4.339108,1.5893755,-0.57595843
-1.7446008,-0.5401914,3.7392673,2.9091213,0.46155936,-1.613758,3.2168605,-2.737257,-3.04378,-0.9560064,1.5119338,1.8602775,-3.1365278,2.4646351,2.069487,2.9189348,0.7146319,-1.2552409,1.0696524,4.2366796,0.07705516,1.3860486,-3.8883252,-1.9361069,2.2687597,-1.4570158,2.8888211,4.2341537,1.3777196,-0.66379356
-1.7081473,-0.54819304,3.4984217,2.9319391,0.55873716,-1.3979802,3.1800556,-2.5224557,-3.038643,-0.71825624,1.5176115,1.8598477,-3.1193533,2.259619,2.0283713,2.8358762,0.97115386,-1.0409299,0.9450531,4.3161716,-0.06147387,1.4687622,-3.8012729,-2.1123412,2.2245963,-1.5849199,2.8332596,4.3776145,1.535322,-0.50924194
1.3013475,-2.2780204,0.9603919,2.3166022,2.4652066,-2.2920704,-4.1121116,-1.3230617,-1.6263945,4.1010866,2.6094093,2.5686812,-2.0364141,2.6750247,2.5350528,0.6609336,-1.1966408,-1.9354945,1.3313541,1.544251,1.1086013,2.142929,-3.02535,-1.0373169,2.5315096,-3.5472126,1.6479895,2.3716764,3.1150646,3.4851213
1.5684682,-2.2157478,0.98693323,2.2557411,2.574425,-2.3122892,-4.5259748,-1.1609383,-1.9260273,4.1889086,2.7047043,2.8891444,-1.8937657,2.9905047,2.2941964,0.6977617,-0.8347494,-1.8172369,1.0848818,1.6236862,0.5582482,2.15199,-3.1786597,-1.4244698,2.3134992,-3.656415,1.6858704,2.599522,3.3686862,3.056693
0.89008844,-1.1592232,0.051764153,0.5219071,1.2885962,-1.2739545,-0.6401486,-2.1289442,-1.5634661,0.9729371,1.3402822,1.2686219,-1.5553756,1.1712313,2.034751,0.02033208,-0.8573296,-0.4383055,1.7845174,0.3794713,0.9864615,1.6022284,-0.50496227,0.78825235,0.6627714,-0.9890423,0.24973705,0.48435724,1.1739416,1.6297976
1.3962379,-1.9885265,1.0487138,1.9961458,2.3169258,-2.0924096,-4.078059,-1.0420996,-1.7098539,3.8350163,2.393041,2.5997016,-1.7249444,2.80916,2.1273127,0.71925974,-0.7729268,-1.6022457,1.1575528,1.4520533,0.51120543,1.9937866,-2.8726633,-1.4339141,1.9647696,-3.310349,1.5793763,2.3355067,3.1052833,2.7360106
-0.69077337,-0.95920527,2.4164033,1.7883301,0.9155166,-1.7595756,2.0859077,-2.6330833,-2.1985457,-0.58879185,2.56806,2.5189633,-2.7130032,1.8761164,2.2822628,1.0908504,0.07806311,-0.35297775,1.7672403,3.4683018,0.7353225,1.3357387,-2.6742663,-1.0261946,0.95678544,-1.4009783,2.2863069,3.1168327,1.9580972,-0.5482325
-1.060364,-0.48353273,2.7011647,2.2142725,0.85265553,-1.5607572,2.5422876,-2.4564729,-2.7213883,-0.46043032,2.0764651,2.1231866,-2.7553535,2.012775,2.0691493,1.7511957,0.6427725,-0.6845731,1.2761604,3.82264,0.30782616,1.3528465,-2.967463,-1.7950172,1.6260571,-1.4677439,2.4162025,3.6292694,1.8313161,-0.4158918
1.1042366,-0.27508512,1.3384783,0.70485246,1.1732616,-2.1357365,0.65177363,-2.1921194,-2.6141539,0.38124454,3.379356,2.4758863,-2.4432335,1.577513,1.8869982,-0.44199905,0.35719836,0.6343007,2.8344488,2.8639305,0.8995546,1.468252,-1.6726528,-1.5864469,-0.21709079,-1.5406106,1.939302,2.6279228,3.0830376,-0.02545686
1.1013376,-1.1814861,0.016972635,1.1041561,1.3262825,-1.0956198,-1.6494472,-1.2828274,-1.768837,2.2508097,1.5719049,1.8171731,-1.5059069,1.5759611,1.8167539,-0.31346563,-0.36986345,-0.3972746,1.2297888,0.78881896,0.19161518,1.8396955,-1.3669585,-0.7978161,1.3202937,-1.8517063,0.8851437,1.6478195,2.0229993,2.0926037
1.8013201,-0.8910804,3.213358,0.8341259,2.0252943,-2.6283872,-2.534868,-0.46712744,-2.0210073,1.2336456,2.816596,2.7923617,-1.50664,2.1192927,0.92872655,1.036842,-0.46654043,-0.7317938,2.224967,1.892287,-0.6117303,1.4995589,-2.2235303,-1.6700172,-1.474834,-2.5416403,2.553242,2.0338175,4.102617,-0.902616
1.2365024,-1.6290138,0.32719907,1.2407358,1.5091116,-1.6449865,-2.6186655,-0.9523828,-1.6802055,2.7165928,1.6853207,2.0106907,-1.449929,2.0358622,2.1865315,-0.12515453,-0.6720861,-0.6640044,1.057816,0.82386994,-0.009231463,1.949581,-2.0425887,-0.91764265,1.6479821,-2.2896628,1.0651768,1.8951001,2.5450654,2.424873
1.4277046,-1.8841897,0.6857405,1.8600733,2.0937824,-2.096775,-3.7577462,-1.2381144,-1.8870709,3.7225137,2.4105096,2.6346636,-1.8512658,2.7264748,2.3004608,0.16210277,-0.61168003,-1.1955167,1.1333644,1.4925015,0.39602348,2.1954026,-2.8027208,-1.352382,2.0128202,-3.3281348,1.3893049,2.38795,3.2431216,2.999165
1.5331031,-2.1602428,1.0042727,2.141979,2.3802133,-2.238155,-4.231139,-0.9201169,-1.6757851,3.8525367,2.489863,2.6635475,-1.7868507,2.813999,2.2309744,0.72806823,-0.8276886,-1.7073064,1.0615325,1.373174,0.42385107,2.0899642,-2.914732,-1.4052978,2.0987673,-3.4489186,1.6111028,2.4404192,3.1748714,2.800362
0.88637245,-1.1933951,-0.090045385,0.78586507,1.053097,-1.1024224,-1.2364955,-1.219388,-1.5611765,1.8980725,1.3053198,1.668468,-1.257078,1.3793929,1.7741795,-0.3874759,-0.3476753,-0.060376573,1.0587208,0.71451265,-0.025813296,1.8733785,-1.1353924,-0.69499904,0.94024837,-1.4235401,0.9389376,1.2120942,1.9588853,1.9050381
1.3409984,-1.9090502,1.1521964,1.9496043,2.3683105,-1.9333814,-3.8860288,-0.7593542,-1.5449414,3.454709,2.2503524,2.1367974,-1.5714732,2.3882065,1.7790711,1.0935795,-0.8954029,-1.9792235,0.9961687,1.3289292,0.5724207,1.6669118,-2.751665,-1.0787213,1.8546243,-3.1557107,1.5587575,2.1288567,2.7275977,2.2214055
1.4958243,-1.921819,0.8938613,1.9118202,2.2376199,-2.0926912,-3.930927,-1.022016,-1.7889814,3.693544,2.3442903,2.631947,-1.7841606,2.7343876,2.2051363,0.42153758,-0.7433536,-1.4086788,1.1651471,1.3909531,0.29310215,2.1760705,-2.7049975,-1.4116143,1.9309483,-3.2799587,1.4880838,2.3618646,3.1943412,2.8359022
-1.791539,-0.5334953,3.026163,2.5980258,0.729612,-1.6603043,3.0422955,-2.4906461,-2.8737106,-0.81228024,1.756,2.0053258,-3.102533,2.3179178,2.216708,2.4922194,0.59645724,-0.6699462,1.3476756,3.9120207,0.066076845,1.5931304,-3.5470338,-1.832401,2.1182067,-1.3496785,2.7696433,4.1413317,1.3942513,-0.46050328
